id,review.status,review.reviewer,review.log,label.fullName.de,label.fullName.en,label.short.de,label.short.en,definition.de,definition.en,hasParent,isSuccessorOf,employsAcceleratorTypes,isInstanceOf,primaryBeamParticles,secondaryBeamParticles,lifeCycle.currentStatus,lifeCycle.operation.startYear,lifeCycle.operation.endYear,hasHost,is_BMBF_FIS,primaryApplications,secondaryApplications,links.homepage.de,links.homepage.en,researchAgenda.path,researchAgenda.layoutGroup,researchAgenda.topics,researchAgenda.objectives,cost.realization__euro,parameters.length__m,parameters.E_0__eV,parameters.E_1__eV,parameters.srPowerLoss__w,cost.operationalPerYear,parameters.luminosity,parameters.repetitionRate,parameters.pulseDuration,parameters.magneticField,parameters.cmEnergy,parameters.electricGradient,parameters.events,isUserFacility,parameters.emittance__mrad,links.references,parameters.powerConsumption__W,hasWorkingGroups,lifeCycle.design.startYear,lifeCycle.realization.startYear
:kit-atp/cstart,01: in preparation,,,Kompakter Speicherring für Beschleunigerforschung und -technologie,Compact Storage Ring for Accelerator Research and Technology,cSTART,cSTART,Machbarkeitsstudie zur Speicherung ultrakurzer Elektronenpakete mit großer Impulsspanne aus einem Laser-Teilchenbeschleuniger.,Machbarkeitsstudie zur Speicherung ultrakurzer Elektronenpakete mit großer Impulsspanne aus einem Laser-Teilchenbeschleuniger.,:kit-atp,,/accelerator/synchrotron/storage-ring/,/accelerator/synchrotron/storage-ring/,electrons,,/facility-life-cycle/2.1_preparation,2026,,:kit,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.cstart,test-facilities,"materials.high-temperature-superconductivity,ultracompact.laser-plasma-injector,beam-modeling.ultra-short-pulses,measurement-and-control.high-resolution-diagnostics",,,,,,,,,,,,,,,false,,,,,,
:dali,01: in preparation,,,Fortschrittliche Lichtinfrastruktur in Dresden,Dresden Advanced Light Infrastructure,DALI,DALI,Dresden Advanced Light Infrastructure,Dresden Advanced Light Infrastructure,,,,/facility/laser-facility,photons,,/facility-life-cycle/3.1_operation,2030,2040,:hzdr,false,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.dali,user-facilities,"beam-modeling.ultra-short-pulses,beam-modeling.s2e-fel-simulation",,,,,,,,,,,,,,,false,,,,,,
:delta,02: in prereview,,,Dortmunder Elektronenspeicherring-Anlage,Dortmund ELectron storage ring facility,DELTA,DELTA,,,,,/accelerator/synchrotron/,/accelerator/synchrotron/,electrons,photons,/facility-life-cycle/3_operation_and_maintenance,1996,,:tu-dortmund,false,/accelerator-application/science-application/matter-research/photon-science,/accelerator-application/science-application/accelerator-research,,,photon-science.delta,user-facilities,measurement-and-control.high-resolution-diagnostics,,,,,,,,,,,,,,,false,,,,,,
:draco,01: in preparation,,,DResden laser ACceleration source,DResden laser ACceleration source,(LASER) DRACO,(LASER) DRACO,Ultrakurzpuls-Hochleistungslaser für Untersuchungen zur Laserteilchenbeschleunigung ,Ultrakurzpuls-Hochleistungslaser für Untersuchungen zur Laserteilchenbeschleunigung ,,,,/facility/laser-facility,,,/facility-life-cycle/4.2.2_decommissioned,,,:hzdr,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.lasers.draco,test-facilities,"ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses,measurement-and-control.high-precision-control",,,,,,,,,,,,,,,false,,,,,,
:elbe,01: in preparation,,,Strahlungsquelle ELBE,User Facility ELBE,ELBE,ELBE,"Die Strahlungsquelle ELBE (Elektronen-Linearbeschleuniger für Strahlen hoher Brillanz und niedriger Emittanz) besteht aus einem supraleitenden Elektronenbeschleuniger und mehreren Nebenanlagen, die sowohl elektromagnetische Strahlung (THz-, Infrarot- und hochenergetische Gammastrahlung) als auch Teilchenstrahlung (Neutronen, Positronen und Elektronen) erzeugen. Diese Sekundärstrahlung steht sowohl externen Nutzern als auch den Mitgliedern des Helmholtz-Zentrums Dresden-Rossendorf für Forschungszwecke zur Verfügung. ","The ELBE radiation source (electron linear accelerator for high brilliance and low emittance beams) consists of a superconducting electron accelerator and several auxiliary facilities that generate both electromagnetic radiation (THz, infrared and high-energy gamma radiation) and particle radiation (neutrons, positrons and electrons). This secondary radiation is available to both external users and members of the Helmholtz-Zentrum Dresden-Rossendorf for research purposes.",,,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/,electrons,"photons, positrons, neutrons",/facility-life-cycle/3.1_operation,2001,,:hzdr,false,/accelerator-application/science-application/accelerator-research,,https://www.hzdr.de/db/Cms?pNid=145,https://www.hzdr.de/db/Cms?pNid=145,hadron-physics,test-facilities,,,,,,,,,,,,,,,,true,,,,,,
:elsa,01: in preparation,,,Elektronenstretcher-Anlage,Elektronenstretcher-Anlage,ELSA,ELSA,"Die Elektronen-Stretcher-Anlage ELSA wird von der Universität Bonn im Land Nordrhein-Westfalen betrieben. Sie besteht aus drei Stufen (Injektor-LINAC, Booster-Synchrotron und Stretcher-Ring) und liefert einen Strahl polarisierter oder unpolarisierter Elektronen mit variabler Energie von maximal 3,2 GeV. Für das Hauptforschungsgebiet, die Hadronenphysik, können Ströme bis zu 1 nA extrahiert und zu den Experimentierplätzen CB-ELSA und BGOOD transferiert werden.","Die Elektronen-Stretcher-Anlage ELSA wird von der Universität Bonn im Land Nordrhein-Westfalen betrieben. Sie besteht aus drei Stufen (Injektor-LINAC, Booster-Synchrotron und Stretcher-Ring) und liefert einen Strahl polarisierter oder unpolarisierter Elektronen mit variabler Energie von maximal 3,2 GeV. Für das Hauptforschungsgebiet, die Hadronenphysik, können Ströme bis zu 1 nA extrahiert und zu den Experimentierplätzen CB-ELSA und BGOOD transferiert werden.",,,/accelerator/synchrotron/storage-ring/,,electrons,,/facility-life-cycle/3.1_operation,1987,,:uni-bonn,false,/accelerator-application/science-application/hadron-physics,,https://www.pi.uni-bonn.de/elsa/de/beschleuniger/aufbau,,hadron-physics,test-facilities,,,,,,,,,,,,,,,,false,,,,,,
:esrf,02: in prereview,,,European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,ESRF,ESRF,European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,,,/accelerator/synchrotron/,/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,electrons,photons,/facility-life-cycle/4.1_replaced_by_upgrade,1995,2019,:esrf,false,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science,user-facilities,,,,844,,,,,,,,,,,,true,,,,,,
:esrf__ebs,02: in prereview,,,Extrem brillante Quelle,European Synchrotron Radiation Facility – Extremely Brilliant source,ESRF-EBS,ESRF-EBS,European Synchrotron Radiation Facility – Extremely Brilliant source,European Synchrotron Radiation Facility – Extremely Brilliant source,,:esrf,/accelerator/synchrotron/,/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,electrons,photons,/facility-life-cycle/3.1_operation,2020,2040,:esrf,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science,user-facilities,,,,844,,,,,,,,,,,,true,,,,,,
:ess,02: in prereview,,,Europäische Spallationsquelle,European Spallation Source,ESS,ESS,European Spallation Source,European Spallation Source,,,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/neutron-source/spallation-neutron-source,protons,,/facility-life-cycle/2.2_construction,2023,,:ess,true,/accelerator-application/science-application/matter-research/neutron-science,,,,neutron-science,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
:eu-xfel,01: in preparation,,,Europäische Freie-Elektronen-Röntgenlaseranlage,European X-Ray Free-Electron Laser Facility,European XFEL,European XFEL,,,,,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/3_operation_and_maintenance,2017,2030,:eu-xfel,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.eu-xfel,user-facilities,"energy-supply.operation-optimization,energy-supply.networks-and-systems,beam-modeling.ultra-short-pulses",,,3400,,,,,,,10.0,,,,,true,,,,,,
:eu-xfel__1.5,02: in prereview,,,European XFEL 1.5,European XFEL 1.5,European XFEL 1.5,European XFEL 1.5,,,,:eu-xfel,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/1_design,2025,2029,:eu-xfel,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.eu-xfel.15,user-facilities,"materials.high-frequency-resonators,energy-supply.networks-and-systems,beam-modeling.ultra-short-pulses",,,3400,,,,,,,,,,,,true,,,,,,
:eu-xfel__2.0,02: in prereview,,,European XFEL 2.0,European XFEL 2.0,European XFEL 2.0,European XFEL 2.0,,,,:eu-xfel,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/1_design,2030,2040,:eu-xfel,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.eu-xfel.20,user-facilities,"cavity-technology.injectors,cavity-technology.continuous-wave-operation,beam-modeling.s2e-fel-simulation,magnet-technology.undulators,materials.high-frequency-resonators,materials.sensor-materials,energy-supply.networks-and-systems,beam-modeling.ultra-short-pulses","user.data-rate,facility.energy-efficiency,user.variable-pulse-structure",550m Euro (HR2015),3400,,,,+10-20 zu Phase I,,,,,,,,true,,,,,,
:eupraxia,01: in preparation,,,Europäischer Plasma-Forschungsbeschleuniger,European Plasma Research Accelerator with eXcellence In Applications ,EuPRAXIA,EuPRAXIA,,,,,,,electrons,photons,/facility-life-cycle/2.1_preparation,,,,true,/accelerator-application/science-application/accelerator-research,/accelerator-application/science-application/matter-research/photon-science,,,accelerator-science,test-facilities,"materials.sensor-materials,ultracompact.laser-plasma-accelerator,beam-modeling.s2e-fel-simulation",,,,,,,,,,,,,,,true,,,,,,
:fair,01: in preparation,,,Forschungsanlage für Antiprotonen und Ionen,Facility for Antiproton and Ion Research,FAIR,FAIR,,,,,/accelerator/accelerator-complex,/facility/facility-complex/,protons,,/facility-life-cycle/2.2_construction,2022,2029,:fair,true,/accelerator-application/science-application/hadron-physics,,,,hadron-physics.fair,user-facilities,"materials.vacuum-systems,energy-supply.operation-optimization,energy-supply.load-management,energy-supply.superconductivity,energy-supply.networks-and-systems,beam-modeling.machine-learning",,,1100,,,,,,,,,,,,true,,,,,,
:fair/cr,02: in prereview,,,Collector Ring,Collector Ring,CR,CR,,,:fair,,/accelerator/synchrotron/storage-ring/,/accelerator/synchrotron/storage-ring/,,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/esr,01: in preparation,,,Experimentierspeicherring ,Experimental Storage Ring,ESR,ESR,,,:fair,,/accelerator/synchrotron/storage-ring/,/accelerator/synchrotron/storage-ring/,protons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/hesr,02: in prereview,,,Hochenergiespeicherring,HESR,HESR,HESR,"Hochenergiespeicherring HESR für Antiprotonen im Energiebereich zwischen 0,83 GeV und 14 GeV",High-energy storage ring HESR for antiprotons in the energy range between 0.83 GeV and 14 GeV,:fair,,/accelerator/synchrotron/storage-ring/,/accelerator/synchrotron/storage-ring/,antiprotons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/p-bar,02: in prereview,,,PBAR,PBAR,,,,,:fair,,,,,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/p-linac,02: in prereview,,,Protonen-Linac,Proton linear accelerator ,PLINAC,PLINAC,"P-LINAC liefert die Protonen für die internationale Beschleunigeranlage FAIR in Darmstadt. Dieser Beschleuniger besteht aus einer Protonenquelle, einem RFQ und einem Raumtemperatur-CH-Driftröhren-Linac für Beschleunigungen von bis zu 70 MeV.","P-LINAC provides the protons for the international accelerator facility FAIR in Darmstadt. This accelerator consists of a proton source, an RFQ and a room temperature CH drift tube linac for accelerations of up to 70 MeV.",:fair,,/accelerator/linear-accelerator/,/accelerator/linear-accelerator/,protons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/sis18,02: in prereview,,,Schwerionensynchrotron,Heavy-ion synchrotron,SIS18,SIS18,,,:fair,,/accelerator/synchrotron/,/accelerator/synchrotron/,protons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/sis100,02: in prereview,,,Schwerionensynchrotron,Heavy-ion synchrotron,SIS100,SIS100,,,:fair,,/accelerator/synchrotron/,/accelerator/synchrotron/,protons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/super-frs,01: in preparation,,,Supraleitender Fragment-Trenner,Super-conducting Fragment Separator,Super-FRS,Super-FRS,"Der Superconducting FRagment Separator (Super-FRS) wird der leistungsstärkste In-Flight-Separator der Welt sein. Seltene Isotope aller Elemente bis hin zum Uran werden bei relativistischen Energien erzeugt und innerhalb weniger hundert Nanosekunden räumlich getrennt, was die Untersuchung sehr kurzlebiger Kerne ermöglicht.","The Superconducting FRagment Separator (Super-FRS) will be the most powerful in-flight separator in the world. Rare isotopes of all elements up to uranium will be produced at relativistic energies and spatially separated within a few hundred nanoseconds, allowing the study of very short-lived nuclei.",:fair,,,,"light ions, heavy ions",,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fair/unilac,01: in preparation,,,Universeller Linearbeschleuniger,Universal Linear Accelerator,UNILAC,UNILAC,"UNILAC (Universal Linear Accelerator) ist der Name eines Schwerionenbeschleunigers am GSI Helmholtzzentrum für Schwerionenforschung in Darmstadt. Das „Universal“ im Namen weist darauf hin, dass die Anlage Ionen aller Massenzahlen von Wasserstoff bis Uran beschleunigen kann. Mit Hilfe des UNILAC wurden unter anderem erstmals die Elemente Bohrium (Bh, 107), Hassium (Hs, 108), Meitnerium (Mt, 109), Darmstadtium (Ds, 110), Roentgenium (Rg, 111) und Copernicium (Cn, 112) synthetisiert.","UNILAC (Universal Linear Accelerator) is the name of a heavy ion accelerator at the GSI Helmholtz Centre for Heavy Ion Research in Darmstadt. The ‘Universal’ in the name indicates that the facility can accelerate ions of all mass numbers from hydrogen to uranium. With the help of UNILAC, the elements Bohrium (Bh, 107), Hassium (Hs, 108), Meitnerium (Mt, 109), Darmstadtium (Ds, 110), Roentgenium (Rg, 111) and Copernicium (Cn, 112), among others, were synthesised for the first time.",:fair,,/accelerator/linear-accelerator/,,protons,,/facility-life-cycle/2.2_construction,,,:fair,true,/accelerator-application/science-application/hadron-physics,,,,,,,,,,,,,,,,,,,,,true,,,,,,
:fcc,02: in prereview,,,Zukünftiger Ringkollider,Future Circular Collider,FCC,FCC,Future Circular Collider (ee),Future Circular Collider (ee),,,/accelerator/synchrotron/storage-ring/,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"electronss, protons, positrons",,/facility-life-cycle/1.2.1_creating_technical_design,2038,2053,:cern,false,/accelerator-application/science-application/high-energy-physics,,,,particle-physics,user-facilities,"materials.vacuum-systems,materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management,energy-supply.superconductivity,energy-supply.networks-and-systems,beam-modeling.machine-learning","user.availability,beam.particle-energy,beam.intensity-maximum,facility.construction-cost,facility.energy-efficiency",24000 MCH (2018),90700000,,,,,,,,,,,,true,,,,,,
:fcc-ee,02: in prereview,,,Zukünftiger Elektronen-Positronen-Ringkollider,Future Circular Collider (ee),FCC-ee,FCC-ee,Future Circular Collider (ee),Future Circular Collider (ee),,:fcc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"electronss, positrons",,/facility-life-cycle/1.2.1_creating_technical_design,2038,2053,:cern,false,/accelerator-application/science-application/high-energy-physics,,,,particle-physics,user-facilities,"materials.vacuum-systems,materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management,energy-supply.superconductivity,energy-supply.networks-and-systems,beam-modeling.machine-learning","user.availability,beam.particle-energy,beam.intensity-maximum,facility.construction-cost,facility.energy-efficiency",24000 MCH (2018),90700000,,,,,,,,,,,,true,,,,,,
:fcc-hh,01: in preparation,,,Zukünftiger Hadronen-Ringkollider,Future Circular Collider (hh),FCC-hh,FCC-hh,Future Circular Collider (hh),Future Circular Collider (hh),,:fcc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,ions,,/facility-life-cycle/1.2.1_creating_technical_design,2063,2088,:cern,true,/accelerator-application/science-application/high-energy-physics,,,,particle-physics,user-facilities,"magnet-technology.high-field-dipole-magnets,materials.high-temperature-superconductivity,materials.vacuum-systems,materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management,energy-supply.superconductivity,energy-supply.networks-and-systems,beam-modeling.machine-learning",,,90700000,,,2900.0,,,,,20.0,100000.000,,171.0,true,,,,,,
:flash,01: in preparation,,,Freie-Elektronen-Laser in Hamburg (FLASH),Free electron-laser in Hamburg,FLASH,FLASH,Free electron-laser in Hamburg,Free electron-laser in Hamburg,,,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/4.1_replaced_by_upgrade,2005,2019,:desy,true,/accelerator-application/science-application/matter-research/photon-science,/accelerator-application/science-application/accelerator-research,,,photon-science.flash,user-facilities,"beam-modeling.s2e-fel-simulation,beam-modeling.machine-learning,measurement-and-control.high-resolution-diagnostics,measurement-and-control.high-precision-control",,,315,,,,,,,,,,,,true,,,,,,
:flash1+flash2,01: in preparation,,,Freie-Elektronen-Laser in Hamburg (FLASH 1+2),Free electron-laser in Hamburg,FLASH 1+2,FLASH 1+2,Free electron-laser in Hamburg,Free electron-laser in Hamburg,,:flash,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/4.1_replaced_by_upgrade,2005,2024,:desy,true,/accelerator-application/science-application/matter-research/photon-science,/accelerator-application/science-application/accelerator-research,,,photon-science.flash.flash-1-2,user-facilities,beam-modeling.s2e-fel-simulation,,,315,,,,,,,30.0,,,,,true,,,,,,
:flash2020+,02: in prereview,,,Freie-Elektronen-Laser in Hamburg (FLASH 2020+),Free electron-laser in Hamburg,FLASH 2020+,FLASH 2020+,Free electron-laser in Hamburg,Free electron-laser in Hamburg,,:flash,,/facility/accelerator-based-facility/photon-source/free-electron-laser/,electrons,photons,/facility-life-cycle/2.3_commissioning,2025,2035,:desy,true,/accelerator-application/science-application/accelerator-research,/accelerator-application/science-application/accelerator-research,,,photon-science.flash.flash2020+,user-facilities,,,,315,,,,,,,,,,,,true,,,,,,
:flashforward,02: in prereview,,,Zukunftsweisende Plasmabeschleuniger-Forschung und -Entwicklung bei FLASH,Future-Oriented Wakefield Accelerator Research and Developement at FLASH,FLASHForward,FLASHForward,"Testinfrastruktur für teilchenstrahlgetriebene Plasma-Wakefield-Beschleunigungsexperimente, die darauf abzielen, in einigen Zentimetern ionisiertem Wasserstoff Elektronenstrahlen mit Energien von mehr als 1,5 GeV und einer ausreichenden Qualität für den Betrieb eines Freie-Elektronen-Lasers zu erzeugen","Testinfrastruktur für teilchenstrahlgetriebene Plasma-Wakefield-Beschleunigungsexperimente, die darauf abzielen, in einigen Zentimetern ionisiertem Wasserstoff Elektronenstrahlen mit Energien von mehr als 1,5 GeV und einer ausreichenden Qualität für den Betrieb eines Freie-Elektronen-Lasers zu erzeugen",:fair,,,,electrons,photons,/facility-life-cycle/3.1_operation,2018,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.flashforward,test-facilities,ultracompact.particle-beam-plasma-accelerator,,,,,,,,,,,,,,,false,,,,:desy/m/mpl,,
:franz,02: in prereview,,,Neutronenquelle Frankfurt,Frankfurt Neutron Source,FRANZ,FRANZ,"FRANZ ist eine protonenstrahlgetriebene Neutronenquelle an der Universität Frankfurt. Sie beschleunigt Protonen mit Wiederholraten von bis zu 250 kHz (100-ns-Pulse), mit einer Strahlenergie von etwa 2 MeV und einem Strahlstrom von 30 mA. Die ersten Neutronen aus FRANZ werden im Juli 2025 erwartet.","RFQ-IH-based high-current proton accelerator to produce a very intense neutron beam. FRANZ is a proton-beam-driven neutron source at the University of Frankfurt. It accelerates protons  at repetition rates up to 250 kHz (100 ns pulses), with a beam energy of around 2 MeV and a beam current of 30 mA. First neutrons from FRANZ are expected in July 2025.",,,,,protons,neutrons,/facility-life-cycle/2.2_construction,2025,,:uni-frankfurt,false,,,https://exp-astro.physik.uni-frankfurt.de/index.php?id=expFRANZ,,,,,,,,,,,,,,,,,,,false,,,,,,
:hbns,01: in preparation,,,Hochbrillante Neutronenquelle,High Brilliance Neutron Source,HBNS,HBNS,High Brilliance Neutron Source,High Brilliance Neutron Source,,,/accelerator/linear-accelerator/,/facility/accelerator-based-facility/neutron-source/compact-accelerator-based-neutron-source,protons,neutrons,/facility-life-cycle/1_design,,,:fz-juelich,false,/accelerator-application/science-application/matter-research/neutron-science,,,,neutron-science.hbns,user-facilities,materials.high-frequency-resonators,,,,,,,,,,,,,,,true,,,,,,
:hit,01: in preparation,,,Heidelberger Ionenstrahl-Therapiezentrum ,Heidelberg Ion Beam Therapy Centre ,,,Heidelberger Ionenstrahl-Therapiezentrum ,Heidelberger Ionenstrahl-Therapiezentrum ,,,,/facility/accelerator-based-facility/medical-facility/,,,/facility-life-cycle/3.1_operation,2009,,,false,/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
:hzdr-ibc,01: in preparation,,,Ionenstrahlzentrum ,Ion Beam Center ,IBC,IBC,,,,,,/accelerator-application/ion-beam-analysis,ions,,/facility-life-cycle/3.1_operation,,,:hzdr,false,,,,,ibc,,,,,,,,,,,,,,,,,false,,,,,,
:ilc,01: in preparation,,,Internationaler Linearbeschleuniger,International Linear Collider,ILC,ILC,,,,,,/accelerator/linear-accelerator/,"electrons, positrons",,/facility-life-cycle/1.2.2_technically-designed,2040,2060,,true,/accelerator-application/science-application/high-energy-physics,,,,particle-physics.ilc,user-facilities,"measurement-and-control.alignment,materials.high-frequency-resonators",,,31000000,,,0.0,,,,,,500.000,31.5,,true,,,,,,
:jeti,01: in preparation,,,Jena Titanium:sapphire 40 TW Laser,Jena Titanium:sapphire 40 TW Laser,(Laser) JETI,(Laser) JETI,,,,,,/facility/laser-facility,photons,,/facility-life-cycle/3.1_operation,,,,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.lasers.jeti,test-facilities,"ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses",,,,,,,,,,,,,,,false,,,,,,
:kaldera,01: in preparation,,,KALDERA,KALDERA,KALDERA,KALDERA,Laser for operating a laser plasma accelerator with ultra-fast laser pulses with peak powers of 100 terawatts and repetition rates of up to 1 kHz. Project start: 2020. ,Laser zum Betrieb eines Laser-Plasma-Beschleunigers mit ultraschnellen Laserpulsen mit Spitzenleistungen von 100 Terawatt und Wiederholraten bis zu 1 kHz. Projektstart: 2020. ,,,,/accelerator-component/laser,,,/facility-life-cycle/2.2_construction,,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.lasers.kaldera,,,,,,,,,,,,,,,,,false,,,,:desy/m/mpl,,
:kit-atp/kara,01: in preparation,,,Karlsruhe Research Accelerator KARA,Karlsruhe Research Accelerator KARA,KARA,KARA,"Der Karlsruhe Research Accelerator (KARA) ist ein Speicherring für Elektronenstrahlen im Energiebereich von 500 bis 2.500 MeV, der für die Beschleunigerforschung und als Quelle für intensive elektromagnetische Synchrotronstrahlung genutzt wird. ","The Karlsruhe Research Accelerator (KARA) is a storage ring for electron beams in the energy range of 500 to 2,500 MeV, used for accelerator research and as a source of intense electromagnetic synchrotron radiation. ",:kit-atp,,/accelerator/microtron/circular-microtron,/facility/accelerator-based-facility/photon-source/,electrons,photons,/facility-life-cycle/3.1_operation,2000,,:kit,false,/accelerator-application/science-application/accelerator-research,/accelerator-application/science-application/matter-research/photon-science,,,accelerator-science.prototypes.kara,test-facilities,"materials.sensor-materials,energy-supply.operation-optimization,energy-supply.networks-and-systems,beam-modeling.ultra-short-pulses,measurement-and-control.high-resolution-diagnostics,measurement-and-control.machine-learning",facility.energy-efficiency,,110,5E8,2.5E9,,,,,,,,,,false,,,,,,
:kit-atp,01: in preparation,,,KIT Accelerator Technology Platform,KIT Accelerator Technology Platform,KIT ATP,KIT ATP,,,,,,/facility/facility-complex/,,,/facility-life-cycle/3.1_operation,,,:kit,false,/accelerator-application/science-application/accelerator-research,,,,,,,,,,,,,,,,,,,,,false,,,,,,
:lux,01: in preparation,,,Plasma-Beschleuniger LUX ,LUX Plasma Accelerator,LUX,LUX,Testanlage für die Entwicklung von laserplasmagestützten Injektoren für Synchrotronlichtquellen,Test facility for the development of laser plasma-assisted injectors for synchrotron light sources,,,,,photons,electrons,/facility-life-cycle/3.1_operation,,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.lux,,"ultracompact.laser-plasma-accelerator,measurement-and-control.machine-learning","facility.size,beam.particle-energy-spread",,,,4E8,,,,,,,,,,false,,,,:desy/m/mpl,,
:mami,01: in preparation,,,Mainzer Mikrotron,Mainzer Mikrotron,MAMI,MAMI,,,,,/accelerator/microtron,/accelerator/microtron,electrons,,/facility-life-cycle/3.1_operation,1979,,:uni-mainz,false,/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/accelerator-research,,,hadron-physics.mami,test-facilities,,,,,,,,,,,,,1.500,,,true,,,,,,
:kit-atp/mcf/lasmaglab,01: in preparation,,,LASMagLab,LASMagLab,,,"Messplatz nach neuestem Stand der Technik für normalleitende und permanente Beschleunigermagnete, der mehrere Techniken wie 3D-Hallsonden-Scans, Messungen mit gestrecktem Draht und Feldintegralmessungen mit rotierender Spule integriert. ","State-of-the-art measurement bench for normal conducting and permanent accelerator magnets that integrates multiple techniques such as 3D Hall probe scans, stretched wire and rotating coil field integral measurements. ",:kit-atp/mcf,,,/facility/,,,/facility-life-cycle/3.1_operation,,,:kit,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.aux.mcf,,,,,,,,,,,,,,,,,false,,,,,,
:mesa,01: in preparation,,,Mainz Energy-Recovering Superconducting Accelerator,Mainz Energy-Recovering Superconducting Accelerator,MESA,MESA,,,,,,/accelerator/erl,electrons,,/facility-life-cycle/2.2_construction,2023,2030,:uni-mainz,false,/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/accelerator-research,https://www.mesa.uni-mainz.de/#teilchenbeschleuniger,,hadron-physics.mesa,user-facilities,"materials.high-frequency-resonators,energy-supply.erl",facility.energy-efficiency,,,,,,,,,,,0.155,,,true,,,,,,
:mit,01: in preparation,,,Marburger Ionenstrahl-Therapiezentrum ,Marburger Ionenstrahl-Therapiezentrum ,,,Marburger Ionenstrahl-Therapiezentrum ,Marburger Ionenstrahl-Therapiezentrum ,,,,,ions,,/facility-life-cycle/3.1_operation,2015,,,false,/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
